From src:'1'	To src:'7'
CHEMBL1527389	116324
CHEMBL1631978	70299
CHEMBL1668320	70154
CHEMBL2134603	96915
CHEMBL1574931	117193
CHEMBL1525876	109007
CHEMBL1327203	83666
CHEMBL1908005	15826
CHEMBL1339929	112784
CHEMBL1320367	105721
CHEMBL4168954	8775
CHEMBL1724052	93473
CHEMBL195923	4139
CHEMBL60264	93418
CHEMBL513308	580387
CHEMBL2131434	129519
CHEMBL321248	48991
CHEMBL2144316	93000
CHEMBL142711	108598
CHEMBL2144846	95846
CHEMBL516313	37918
CHEMBL1367788	108272
CHEMBL1562875	115614
CHEMBL444942	6146
CHEMBL4063095	88384
CHEMBL3236668	144238
CHEMBL1469101	116652
CHEMBL2135460	135905
CHEMBL3039125	92492
CHEMBL2165326	76609
CHEMBL1583522	120837
CHEMBL1620852	104026
CHEMBL1328505	122039
CHEMBL1373006	105514
CHEMBL2392777	34321
CHEMBL2420102	93982
CHEMBL1502923	104979
CHEMBL1458922	115648
CHEMBL1485542	108973
CHEMBL1200479	4515
CHEMBL1571734	121748
CHEMBL1322399	117228
CHEMBL2105566	134837
CHEMBL3248146	133542
CHEMBL1617951	70636
CHEMBL263733	91872
CHEMBL1773672	68047
CHEMBL2360987	101568
CHEMBL2361558	102962
CHEMBL1765393	67780
CHEMBL2358319	113702
CHEMBL1697733	57589
CHEMBL2139591	91466
CHEMBL1363140	113176
CHEMBL1736977	130399
CHEMBL525184	68785
CHEMBL1430	7959
CHEMBL2228376	84268
CHEMBL2032098	80674
CHEMBL472016	3578
CHEMBL465159	149956
CHEMBL516698	65924
CHEMBL1200574	26710
CHEMBL1341771	107693
CHEMBL254328	68642
CHEMBL289159	72761
CHEMBL1363772	116607
CHEMBL458520	138752
CHEMBL1573065	92396
CHEMBL275707	94713
CHEMBL1584329	121351
CHEMBL52440	4470
CHEMBL1926996	69182
CHEMBL1500441	105444
CHEMBL1574026	105361
CHEMBL1365357	116195
CHEMBL1159717	93856
CHEMBL1328768	94263
CHEMBL244877	5827
CHEMBL4297214	142431
CHEMBL3561882	131383
CHEMBL1834919	69703
CHEMBL1387826	92409
CHEMBL1608010	116405
CHEMBL594	4779
CHEMBL591665	113451
CHEMBL2136711	126277
CHEMBL1508760	107996
CHEMBL1522462	6407
CHEMBL1317823	95289
CHEMBL3989850	135830
CHEMBL1710820	117182
CHEMBL1524273	9336
CHEMBL1908000	34124
CHEMBL3560918	114018
CHEMBL130	17698
CHEMBL2356547	96713
CHEMBL1619834	103885
CHEMBL1236486	46324
CHEMBL1481	5383
CHEMBL1269202	92025
CHEMBL312403	91596
CHEMBL652	75984
CHEMBL3186078	82540
CHEMBL1538	63717
CHEMBL487416	66814
CHEMBL1352214	112671
CHEMBL394429	17013
CHEMBL2110602	135437
CHEMBL1577698	121017
CHEMBL1270605	93537
CHEMBL167667	23995
CHEMBL3707258	135970
CHEMBL1559553	107499
CHEMBL1404376	107240
CHEMBL1732549	92248
CHEMBL1794671	18697
CHEMBL122196	3686
CHEMBL1507672	105346
CHEMBL513172	72821
CHEMBL1626	3738
CHEMBL1557432	105108
CHEMBL502742	132150
CHEMBL1349757	112854
CHEMBL58835	58996
CHEMBL1200870	9600
CHEMBL164290	34873
CHEMBL280074	44661
CHEMBL1371129	38848
