id	reversible	fast	lowerFluxBound	upperFluxBound
R_HMR_5299	false	false	FB2N0	FB3N1000
R_HMR_5352	false	false	FB2N0	FB3N1000
R_HMR_5415	false	false	FB2N0	FB3N1000
R_HMR_5416	false	false	FB2N0	FB3N1000
R_HMR_5417	false	false	FB2N0	FB3N1000
R_HMR_6612	true	false	FB1N1000	FB3N1000
R_HMR_6613	true	false	FB1N1000	FB3N1000
R_HMR_6621	true	false	FB1N1000	FB3N1000
R_HMR_6622	false	false	FB2N0	FB3N1000
R_HMR_6623	false	false	FB2N0	FB3N1000
R_HMR_6624	false	false	FB2N0	FB3N1000
R_HMR_6627	true	false	FB1N1000	FB3N1000
R_HMR_7744	true	false	FB1N1000	FB3N1000
R_HMR_8072	false	false	FB2N0	FB3N1000
R_HMR_8637	false	false	FB2N0	FB3N1000
R_HMR_3965	false	false	FB2N0	FB3N1000
R_HMR_3966	false	false	FB2N0	FB3N1000
R_HMR_3967	true	false	FB1N1000	FB3N1000
R_HMR_3968	true	false	FB1N1000	FB3N1000
R_HMR_3999	false	false	FB2N0	FB3N1000
R_HMR_4024	true	false	FB1N1000	FB3N1000
R_HMR_4026	true	false	FB1N1000	FB3N1000
R_HMR_4054	false	false	FB2N0	FB3N1000
R_HMR_4061	false	false	FB2N0	FB3N1000
R_HMR_4083	false	false	FB2N0	FB3N1000
R_HMR_4136	false	false	FB2N0	FB3N1000
R_HMR_4180	false	false	FB2N0	FB3N1000
R_HMR_4185	false	false	FB2N0	FB3N1000
R_HMR_4186	false	false	FB2N0	FB3N1000
R_HMR_4342	false	false	FB2N0	FB3N1000
R_HMR_4344	true	false	FB1N1000	FB3N1000
R_HMR_4483	false	false	FB2N0	FB3N1000
R_HMR_4507	false	false	FB2N0	FB3N1000
R_HMR_4516	false	false	FB2N0	FB3N1000
R_HMR_4601	false	false	FB2N0	FB3N1000
R_HMR_4633	false	false	FB2N0	FB3N1000
R_HMR_4640	false	false	FB2N0	FB3N1000
R_HMR_4641	false	false	FB2N0	FB3N1000
R_HMR_4680	true	false	FB1N1000	FB3N1000
R_HMR_4806	false	false	FB2N0	FB3N1000
R_HMR_5394	false	false	FB2N0	FB3N1000
R_HMR_6625	false	false	FB2N0	FB3N1000
R_HMR_6626	false	false	FB2N0	FB3N1000
R_HMR_7160	false	false	FB2N0	FB3N1000
R_HMR_7161	false	false	FB2N0	FB3N1000
R_HMR_7162	false	false	FB2N0	FB3N1000
R_HMR_7163	false	false	FB2N0	FB3N1000
R_HMR_7164	false	false	FB2N0	FB3N1000
R_HMR_7713	false	false	FB2N0	FB3N1000
R_HMR_7716	false	false	FB2N0	FB3N1000
R_HMR_7717	false	false	FB2N0	FB3N1000
R_HMR_7721	false	false	FB2N0	FB3N1000
R_HMR_7725	false	false	FB2N0	FB3N1000
R_HMR_7728	false	false	FB2N0	FB3N1000
R_HMR_7800	true	false	FB1N1000	FB3N1000
R_HMR_7801	true	false	FB1N1000	FB3N1000
R_HMR_7802	true	false	FB1N1000	FB3N1000
R_HMR_7863	true	false	FB1N1000	FB3N1000
R_HMR_7864	true	false	FB1N1000	FB3N1000
R_HMR_7865	true	false	FB1N1000	FB3N1000
R_HMR_7866	true	false	FB1N1000	FB3N1000
R_HMR_7867	true	false	FB1N1000	FB3N1000
R_HMR_7868	true	false	FB1N1000	FB3N1000
R_HMR_7869	true	false	FB1N1000	FB3N1000
R_HMR_7870	true	false	FB1N1000	FB3N1000
R_HMR_7871	true	false	FB1N1000	FB3N1000
R_HMR_7872	true	false	FB1N1000	FB3N1000
R_HMR_7873	true	false	FB1N1000	FB3N1000
R_HMR_7874	true	false	FB1N1000	FB3N1000
R_HMR_7875	true	false	FB1N1000	FB3N1000
R_HMR_7876	true	false	FB1N1000	FB3N1000
R_HMR_7878	true	false	FB1N1000	FB3N1000
R_HMR_7879	false	false	FB2N0	FB3N1000
R_HMR_7880	false	false	FB2N0	FB3N1000
R_HMR_7881	true	false	FB1N1000	FB3N1000
R_HMR_7882	true	false	FB1N1000	FB3N1000
R_HMR_7883	true	false	FB1N1000	FB3N1000
R_HMR_7884	true	false	FB1N1000	FB3N1000
R_HMR_7885	true	false	FB1N1000	FB3N1000
R_HMR_7886	true	false	FB1N1000	FB3N1000
R_HMR_7887	true	false	FB1N1000	FB3N1000
R_HMR_7888	true	false	FB1N1000	FB3N1000
R_HMR_7889	true	false	FB1N1000	FB3N1000
R_HMR_7890	true	false	FB1N1000	FB3N1000
R_HMR_7891	true	false	FB1N1000	FB3N1000
R_HMR_7892	true	false	FB1N1000	FB3N1000
R_HMR_7893	true	false	FB1N1000	FB3N1000
R_HMR_7894	true	false	FB1N1000	FB3N1000
R_HMR_7895	true	false	FB1N1000	FB3N1000
R_HMR_8083	false	false	FB2N0	FB3N1000
R_HMR_8085	false	false	FB2N0	FB3N1000
R_HMR_8087	false	false	FB2N0	FB3N1000
R_HMR_8443	false	false	FB2N0	FB3N1000
R_HMR_8444	false	false	FB2N0	FB3N1000
R_HMR_8445	false	false	FB2N0	FB3N1000
R_HMR_8446	false	false	FB2N0	FB3N1000
R_HMR_8448	true	false	FB1N1000	FB3N1000
R_HMR_8449	true	false	FB1N1000	FB3N1000
