geneID	reactionID
ENSG00000172955	R_HMR_8502
ENSG00000187758	R_HMR_8502
ENSG00000196344	R_HMR_8502
ENSG00000196616	R_HMR_8502
ENSG00000197894	R_HMR_8502
ENSG00000198099	R_HMR_8502
ENSG00000248144	R_HMR_8502
ENSG00000006534	R_HMR_8503
ENSG00000072210	R_HMR_8503
ENSG00000108602	R_HMR_8503
ENSG00000132746	R_HMR_8503
ENSG00000143149	R_HMR_8503
ENSG00000164904	R_HMR_8503
ENSG00000184254	R_HMR_8503
ENSG00000072210	R_HMR_8504
ENSG00000111275	R_HMR_8504
ENSG00000137124	R_HMR_8504
ENSG00000143149	R_HMR_8504
ENSG00000164904	R_HMR_8504
ENSG00000072210	R_HMR_8506
ENSG00000111275	R_HMR_8506
ENSG00000137124	R_HMR_8506
ENSG00000143149	R_HMR_8506
ENSG00000164904	R_HMR_8506
ENSG00000147576	R_HMR_8507
ENSG00000172955	R_HMR_8507
ENSG00000180011	R_HMR_8507
ENSG00000187758	R_HMR_8507
ENSG00000196344	R_HMR_8507
ENSG00000196616	R_HMR_8507
ENSG00000197894	R_HMR_8507
ENSG00000198099	R_HMR_8507
ENSG00000248144	R_HMR_8507
ENSG00000147576	R_HMR_8508
ENSG00000172955	R_HMR_8508
ENSG00000180011	R_HMR_8508
ENSG00000187758	R_HMR_8508
ENSG00000196344	R_HMR_8508
ENSG00000196616	R_HMR_8508
ENSG00000197894	R_HMR_8508
ENSG00000198099	R_HMR_8508
ENSG00000248144	R_HMR_8508
ENSG00000053371	R_HMR_8509
ENSG00000085662	R_HMR_8509
ENSG00000117448	R_HMR_8509
ENSG00000063854	R_HMR_8511
ENSG00000103253	R_HMR_8511
ENSG00000166816	R_HMR_8514
ENSG00000182224	R_HMR_8514
ENSG00000111716	R_HMR_4280
ENSG00000134333	R_HMR_4280
ENSG00000151116	R_HMR_4280
ENSG00000166796	R_HMR_4280
ENSG00000166800	R_HMR_4280
ENSG00000171989	R_HMR_4280
ENSG00000111058	R_HMR_0153
ENSG00000131069	R_HMR_0153
ENSG00000154930	R_HMR_0153
ENSG00000111271	R_HMR_3212
ENSG00000117054	R_HMR_3212
ENSG00000122971	R_HMR_3212
ENSG00000151498	R_HMR_3212
ENSG00000177646	R_HMR_3212
ENSG00000196177	R_HMR_3212
ENSG00000240303	R_HMR_3212
ENSG00000111058	R_HMR_3797
ENSG00000131069	R_HMR_3797
ENSG00000154930	R_HMR_3797
ENSG00000083123	R_HMR_3800
ENSG00000091140	R_HMR_3800
ENSG00000137992	R_HMR_3800
ENSG00000248098	R_HMR_3800
ENSG00000111058	R_HMR_4331
ENSG00000131069	R_HMR_4331
ENSG00000154930	R_HMR_4331
ENSG00000111058	R_HMR_4459
ENSG00000131069	R_HMR_4459
ENSG00000154930	R_HMR_4459
ENSG00000111058	R_HMR_4460
ENSG00000131069	R_HMR_4460
ENSG00000154930	R_HMR_4460
ENSG00000087076	R_HMR_9804
ENSG00000099377	R_HMR_9804
ENSG00000100867	R_HMR_9804
ENSG00000109854	R_HMR_9804
ENSG00000121039	R_HMR_9804
ENSG00000138400	R_HMR_9804
ENSG00000139988	R_HMR_9804
ENSG00000145439	R_HMR_9804
ENSG00000159692	R_HMR_9804
ENSG00000160439	R_HMR_9804
ENSG00000164039	R_HMR_9804
ENSG00000167733	R_HMR_9804
ENSG00000170426	R_HMR_9804
ENSG00000170786	R_HMR_9804
ENSG00000176387	R_HMR_9804
ENSG00000183921	R_HMR_9804
ENSG00000184860	R_HMR_9804
ENSG00000186153	R_HMR_9804
ENSG00000187134	R_HMR_9804
ENSG00000197894	R_HMR_9804
ENSG00000198074	R_HMR_9804
ENSG00000198189	R_HMR_9804
ENSG00000198610	R_HMR_9804
ENSG00000204228	R_HMR_9804
ENSG00000227471	R_HMR_9804
